Frequency,Averaged_FRF_Magnitude,Averaged_Coherence,Averaged_Phase
666.6667968749999,1.2410369158428995,0.9997253818685101,-91.22594880111873
675.0001318359374,1.2579126306687543,0.9996453051947414,-91.20892373925669
683.333466796875,1.2766041218523276,0.9995762825672034,-91.23604211556729
691.6668017578124,1.2952489027499974,0.9996584893076268,-91.31207158844522
700.0001367187499,1.3149052478022873,0.999773792642104,-91.3613517410469
708.3334716796875,1.3345502324406333,0.999834877123063,-91.31137044718788
716.6668066406249,1.3577498443005043,0.9997893247591201,-91.22665486287704
725.0001416015624,1.3824904792822432,0.9996850845535284,-91.20795395936725
733.3334765625,1.4083792238410788,0.9997018445675352,-91.2095463531413
741.6668115234374,1.4374822786311308,0.9997183432099179,-91.14940422401288
750.0001464843749,1.46969322089279,0.9997698173843503,-91.18706888183172
758.3334814453124,1.5006772072499968,0.999693480615749,-91.20485290681293
